"Id";"ActivityDay";"StepTotal"
1927972279;"2016-04-16 00:00:00";0
1927972279;"2016-04-17 00:00:00";0
1927972279;"2016-04-18 00:00:00";244
1927972279;"2016-04-19 00:00:00";0
1927972279;"2016-04-20 00:00:00";0
1927972279;"2016-04-21 00:00:00";0
1927972279;"2016-04-22 00:00:00";149
1927972279;"2016-04-23 00:00:00";2945
1927972279;"2016-04-24 00:00:00";2090
1927972279;"2016-04-25 00:00:00";152
1927972279;"2016-04-26 00:00:00";3761
1927972279;"2016-04-27 00:00:00";0
1927972279;"2016-04-28 00:00:00";1675
1927972279;"2016-04-29 00:00:00";0
1927972279;"2016-04-30 00:00:00";0
1927972279;"2016-05-01 00:00:00";2704
1927972279;"2016-05-02 00:00:00";3790
1927972279;"2016-05-03 00:00:00";1326
1927972279;"2016-05-04 00:00:00";1786
1927972279;"2016-05-05 00:00:00";0
1927972279;"2016-05-06 00:00:00";2091
1927972279;"2016-05-07 00:00:00";1510
1927972279;"2016-05-08 00:00:00";0
1927972279;"2016-05-09 00:00:00";0
1927972279;"2016-05-10 00:00:00";0
1927972279;"2016-05-11 00:00:00";0
1927972279;"2016-05-12 00:00:00";0
2022484408;"2016-04-12 00:00:00";11875
2022484408;"2016-04-13 00:00:00";12024
2022484408;"2016-04-14 00:00:00";10690
2022484408;"2016-04-15 00:00:00";11034
2022484408;"2016-04-16 00:00:00";10100
2022484408;"2016-04-17 00:00:00";15112
2022484408;"2016-04-18 00:00:00";14131
2022484408;"2016-04-19 00:00:00";11548
2022484408;"2016-04-20 00:00:00";15112
2022484408;"2016-04-21 00:00:00";12453
2022484408;"2016-04-22 00:00:00";12954
2022484408;"2016-04-23 00:00:00";6001
2022484408;"2016-04-24 00:00:00";13481
2022484408;"2016-04-25 00:00:00";11369
2022484408;"2016-04-26 00:00:00";10119
2022484408;"2016-04-27 00:00:00";10159
2022484408;"2016-04-28 00:00:00";10140
2022484408;"2016-04-29 00:00:00";10245
2022484408;"2016-04-30 00:00:00";18387
2022484408;"2016-05-01 00:00:00";10538
2022484408;"2016-05-02 00:00:00";10379
2022484408;"2016-05-03 00:00:00";12183
2022484408;"2016-05-04 00:00:00";11768
2022484408;"2016-05-05 00:00:00";11895
2022484408;"2016-05-06 00:00:00";10227
2022484408;"2016-05-07 00:00:00";6708
2022484408;"2016-05-08 00:00:00";3292
2022484408;"2016-05-09 00:00:00";13379
2022484408;"2016-05-10 00:00:00";12798
2022484408;"2016-05-11 00:00:00";13272
2022484408;"2016-05-12 00:00:00";9117
2026352035;"2016-04-12 00:00:00";4414
2026352035;"2016-04-13 00:00:00";4993
2026352035;"2016-04-14 00:00:00";3335
2026352035;"2016-04-15 00:00:00";3821
2026352035;"2016-04-16 00:00:00";2547
2026352035;"2016-04-17 00:00:00";838
2026352035;"2016-04-18 00:00:00";3325
2026352035;"2016-04-19 00:00:00";2424
2026352035;"2016-04-20 00:00:00";7222
2026352035;"2016-04-21 00:00:00";2467
2026352035;"2016-04-22 00:00:00";2915
2026352035;"2016-04-23 00:00:00";12357
2026352035;"2016-04-24 00:00:00";3490
2026352035;"2016-04-25 00:00:00";6017
2026352035;"2016-04-26 00:00:00";5933
2026352035;"2016-04-27 00:00:00";6088
2026352035;"2016-04-28 00:00:00";6375
2026352035;"2016-04-29 00:00:00";7604
2026352035;"2016-04-30 00:00:00";4729
2026352035;"2016-05-01 00:00:00";3609
2026352035;"2016-05-02 00:00:00";7018
2026352035;"2016-05-03 00:00:00";5992
2026352035;"2016-05-04 00:00:00";6564
2026352035;"2016-05-05 00:00:00";12167
2026352035;"2016-05-06 00:00:00";8198
2026352035;"2016-05-07 00:00:00";4193
2026352035;"2016-05-08 00:00:00";5528
2026352035;"2016-05-09 00:00:00";10685
2026352035;"2016-05-10 00:00:00";254
2026352035;"2016-05-11 00:00:00";8580
2026352035;"2016-05-12 00:00:00";8891
2320127002;"2016-04-12 00:00:00";10725
2320127002;"2016-04-13 00:00:00";7275
2320127002;"2016-04-14 00:00:00";3973
2320127002;"2016-04-15 00:00:00";5205
2320127002;"2016-04-16 00:00:00";5057
2320127002;"2016-04-17 00:00:00";6198
2320127002;"2016-04-18 00:00:00";6559
2320127002;"2016-04-19 00:00:00";5997
2320127002;"2016-04-20 00:00:00";7192
2320127002;"2016-04-21 00:00:00";3404
2320127002;"2016-04-22 00:00:00";5583
2320127002;"2016-04-23 00:00:00";5079
2320127002;"2016-04-24 00:00:00";4165
2320127002;"2016-04-25 00:00:00";3588
2320127002;"2016-04-26 00:00:00";3409
2320127002;"2016-04-27 00:00:00";1715
2320127002;"2016-04-28 00:00:00";1532
2320127002;"2016-04-29 00:00:00";924
2320127002;"2016-04-30 00:00:00";4571
2320127002;"2016-05-01 00:00:00";772
2320127002;"2016-05-02 00:00:00";3634
2320127002;"2016-05-03 00:00:00";7443
2320127002;"2016-05-04 00:00:00";1201
2320127002;"2016-05-05 00:00:00";5202
2320127002;"2016-05-06 00:00:00";4878
2320127002;"2016-05-07 00:00:00";7379
2320127002;"2016-05-08 00:00:00";5161
2320127002;"2016-05-09 00:00:00";3090
2320127002;"2016-05-10 00:00:00";6227
2320127002;"2016-05-11 00:00:00";6424
2320127002;"2016-05-12 00:00:00";2661
2347167796;"2016-04-12 00:00:00";10113
2347167796;"2016-04-13 00:00:00";10352
2347167796;"2016-04-14 00:00:00";10129
2347167796;"2016-04-15 00:00:00";10465
2347167796;"2016-04-16 00:00:00";22244
2347167796;"2016-04-17 00:00:00";5472
2347167796;"2016-04-18 00:00:00";8247
2347167796;"2016-04-19 00:00:00";6711
2347167796;"2016-04-20 00:00:00";10999
2347167796;"2016-04-21 00:00:00";10080
2347167796;"2016-04-22 00:00:00";7804
2347167796;"2016-04-23 00:00:00";16901
2347167796;"2016-04-24 00:00:00";9471
2347167796;"2016-04-25 00:00:00";9482
2347167796;"2016-04-26 00:00:00";5980
2347167796;"2016-04-27 00:00:00";11423
2347167796;"2016-04-28 00:00:00";5439
2347167796;"2016-04-29 00:00:00";42
2873212765;"2016-04-12 00:00:00";8796
2873212765;"2016-04-13 00:00:00";7618
2873212765;"2016-04-14 00:00:00";7910
2873212765;"2016-04-15 00:00:00";8482
2873212765;"2016-04-16 00:00:00";9685
2873212765;"2016-04-17 00:00:00";2524
2873212765;"2016-04-18 00:00:00";7762
2873212765;"2016-04-19 00:00:00";7948
2873212765;"2016-04-20 00:00:00";9202
2873212765;"2016-04-21 00:00:00";8859
2873212765;"2016-04-22 00:00:00";7286
2873212765;"2016-04-23 00:00:00";9317
2873212765;"2016-04-24 00:00:00";6873
2873212765;"2016-04-25 00:00:00";7373
2873212765;"2016-04-26 00:00:00";8242
2873212765;"2016-04-27 00:00:00";3516
2873212765;"2016-04-28 00:00:00";7913
2873212765;"2016-04-29 00:00:00";7365
2873212765;"2016-04-30 00:00:00";8452
2873212765;"2016-05-01 00:00:00";7399
2873212765;"2016-05-02 00:00:00";7525
2873212765;"2016-05-03 00:00:00";7412
2873212765;"2016-05-04 00:00:00";8278
2873212765;"2016-05-05 00:00:00";8314
2873212765;"2016-05-06 00:00:00";7063
2873212765;"2016-05-07 00:00:00";4940
2873212765;"2016-05-08 00:00:00";8168
2873212765;"2016-05-09 00:00:00";7726
2873212765;"2016-05-10 00:00:00";8275
2873212765;"2016-05-11 00:00:00";6440
2873212765;"2016-05-12 00:00:00";7566
3372868164;"2016-04-12 00:00:00";4747
3372868164;"2016-04-13 00:00:00";9715
3372868164;"2016-04-14 00:00:00";8844
3372868164;"2016-04-15 00:00:00";7451
3372868164;"2016-04-16 00:00:00";6905
3372868164;"2016-04-17 00:00:00";8199
3372868164;"2016-04-18 00:00:00";6798
3372868164;"2016-04-19 00:00:00";7711
3372868164;"2016-04-20 00:00:00";4880
3372868164;"2016-04-21 00:00:00";8857
3372868164;"2016-04-22 00:00:00";3843
3372868164;"2016-04-23 00:00:00";7396
3372868164;"2016-04-24 00:00:00";6731
3372868164;"2016-04-25 00:00:00";5995
3372868164;"2016-04-26 00:00:00";8283
3372868164;"2016-04-27 00:00:00";7904
3372868164;"2016-04-28 00:00:00";5512
3372868164;"2016-04-29 00:00:00";9135
3372868164;"2016-04-30 00:00:00";5250
3372868164;"2016-05-01 00:00:00";3077
3977333714;"2016-04-12 00:00:00";8856
3977333714;"2016-04-13 00:00:00";10035
3977333714;"2016-04-14 00:00:00";7641
3977333714;"2016-04-15 00:00:00";9010
3977333714;"2016-04-16 00:00:00";13459
3977333714;"2016-04-17 00:00:00";10415
3977333714;"2016-04-18 00:00:00";11663
3977333714;"2016-04-19 00:00:00";12414
3977333714;"2016-04-20 00:00:00";11658
3977333714;"2016-04-21 00:00:00";6093
3977333714;"2016-04-22 00:00:00";8911
3977333714;"2016-04-23 00:00:00";12058
3977333714;"2016-04-24 00:00:00";14112
3977333714;"2016-04-25 00:00:00";11177
3977333714;"2016-04-26 00:00:00";11388
3977333714;"2016-04-27 00:00:00";7193
3977333714;"2016-04-28 00:00:00";7114
3977333714;"2016-04-29 00:00:00";10645
3977333714;"2016-04-30 00:00:00";13238
3977333714;"2016-05-01 00:00:00";10414
3977333714;"2016-05-02 00:00:00";16520
3977333714;"2016-05-03 00:00:00";14335
3977333714;"2016-05-04 00:00:00";13559
3977333714;"2016-05-05 00:00:00";12312
3977333714;"2016-05-06 00:00:00";11677
3977333714;"2016-05-07 00:00:00";11550
3977333714;"2016-05-08 00:00:00";13585
3977333714;"2016-05-09 00:00:00";14687
3977333714;"2016-05-10 00:00:00";13072
3977333714;"2016-05-11 00:00:00";746
4020332650;"2016-04-12 00:00:00";8539
4020332650;"2016-04-13 00:00:00";0
4020332650;"2016-04-14 00:00:00";108
4020332650;"2016-04-15 00:00:00";1882
4020332650;"2016-04-16 00:00:00";1982
4020332650;"2016-04-17 00:00:00";16
4020332650;"2016-04-18 00:00:00";62
4020332650;"2016-04-19 00:00:00";0
4020332650;"2016-04-20 00:00:00";0
4020332650;"2016-04-21 00:00:00";0
4020332650;"2016-04-22 00:00:00";0
4020332650;"2016-04-23 00:00:00";0
4020332650;"2016-04-24 00:00:00";0
4020332650;"2016-04-25 00:00:00";0
4020332650;"2016-04-26 00:00:00";0
4020332650;"2016-04-27 00:00:00";0
4020332650;"2016-04-28 00:00:00";0
4020332650;"2016-04-29 00:00:00";0
4020332650;"2016-04-30 00:00:00";0
4020332650;"2016-05-01 00:00:00";0
4020332650;"2016-05-02 00:00:00";475
4020332650;"2016-05-03 00:00:00";4496
4020332650;"2016-05-04 00:00:00";10252
4020332650;"2016-05-05 00:00:00";11728
4020332650;"2016-05-06 00:00:00";4369
4020332650;"2016-05-07 00:00:00";6132
4020332650;"2016-05-08 00:00:00";5862
4020332650;"2016-05-09 00:00:00";4556
4020332650;"2016-05-10 00:00:00";5546
4020332650;"2016-05-11 00:00:00";3689
4020332650;"2016-05-12 00:00:00";590
4057192912;"2016-04-12 00:00:00";5394
4057192912;"2016-04-13 00:00:00";5974
4057192912;"2016-04-14 00:00:00";0
4057192912;"2016-04-15 00:00:00";3984
4319703577;"2016-04-12 00:00:00";7753
4319703577;"2016-04-13 00:00:00";8204
4319703577;"2016-04-14 00:00:00";10210
4319703577;"2016-04-15 00:00:00";5664
4319703577;"2016-04-16 00:00:00";4744
4319703577;"2016-04-17 00:00:00";29
4319703577;"2016-04-18 00:00:00";2276
4319703577;"2016-04-19 00:00:00";8925
4319703577;"2016-04-20 00:00:00";8954
4319703577;"2016-04-21 00:00:00";3702
4319703577;"2016-04-22 00:00:00";4500
4319703577;"2016-04-23 00:00:00";4935
4319703577;"2016-04-24 00:00:00";4081
4319703577;"2016-04-25 00:00:00";9259
4319703577;"2016-04-26 00:00:00";9899
4319703577;"2016-04-27 00:00:00";10780
4319703577;"2016-04-28 00:00:00";10817
4319703577;"2016-04-29 00:00:00";7990
4319703577;"2016-04-30 00:00:00";8221
4319703577;"2016-05-01 00:00:00";1251
4319703577;"2016-05-02 00:00:00";9261
4319703577;"2016-05-03 00:00:00";9648
4319703577;"2016-05-04 00:00:00";10429
4319703577;"2016-05-05 00:00:00";13658
4319703577;"2016-05-06 00:00:00";9524
4319703577;"2016-05-07 00:00:00";7937
4319703577;"2016-05-08 00:00:00";3672
4319703577;"2016-05-09 00:00:00";10378
4319703577;"2016-05-10 00:00:00";9487
4319703577;"2016-05-11 00:00:00";9129
4319703577;"2016-05-12 00:00:00";17
4388161847;"2016-04-12 00:00:00";10122
4388161847;"2016-04-13 00:00:00";10993
4388161847;"2016-04-14 00:00:00";8863
4388161847;"2016-04-15 00:00:00";8758
4388161847;"2016-04-16 00:00:00";6580
4388161847;"2016-04-17 00:00:00";4660
4388161847;"2016-04-18 00:00:00";11009
4388161847;"2016-04-19 00:00:00";10181
4388161847;"2016-04-20 00:00:00";10553
4388161847;"2016-04-21 00:00:00";10055
4388161847;"2016-04-22 00:00:00";12139
4388161847;"2016-04-23 00:00:00";13236
4388161847;"2016-04-24 00:00:00";10243
4388161847;"2016-04-25 00:00:00";12961
4388161847;"2016-04-26 00:00:00";9461
4388161847;"2016-04-27 00:00:00";11193
4388161847;"2016-04-28 00:00:00";10074
4388161847;"2016-04-29 00:00:00";9232
4388161847;"2016-04-30 00:00:00";12533
4388161847;"2016-05-01 00:00:00";10255
4388161847;"2016-05-02 00:00:00";10096
4388161847;"2016-05-03 00:00:00";12727
4388161847;"2016-05-04 00:00:00";12375
4388161847;"2016-05-05 00:00:00";9603
4388161847;"2016-05-06 00:00:00";13175
4388161847;"2016-05-07 00:00:00";22770
4388161847;"2016-05-08 00:00:00";17298
4388161847;"2016-05-09 00:00:00";10218
4388161847;"2016-05-10 00:00:00";10299
4388161847;"2016-05-11 00:00:00";10201
4388161847;"2016-05-12 00:00:00";3369
4445114986;"2016-04-12 00:00:00";3276
4445114986;"2016-04-13 00:00:00";2961
4445114986;"2016-04-14 00:00:00";3974
4445114986;"2016-04-15 00:00:00";7198
4445114986;"2016-04-16 00:00:00";3945
4445114986;"2016-04-17 00:00:00";2268
4445114986;"2016-04-18 00:00:00";6155
4445114986;"2016-04-19 00:00:00";2064
4445114986;"2016-04-20 00:00:00";2072
